name,size_acres,size_mi2,species_number
Anacapa ,699,1.09219,182
San Clemente,36358.4,56.81,201
San Miguel,9325,14.57031,187
San Nicholas,14562,22.753125,182
Santa Barbara,640,1,87
Santa Catalina,30649.6,47.89,380
Santa Cruz,62080,97,471
Santa Rosa,53195.52,83.118,361
