id	genus	specificepithet	status
206	Comarostaphylis	diversifolia	native
207	Common	dwarf	native
208	Common	linanthus	native
209	Conium	maculatum	introduced
210	Convolvulus	arvensis	introduced
211	Conyza	bonarienis	introduced
212	Conyza	coulteri	native
213	Coreopsis	gigantean	native
214	Cotula	australis	introduced
215	Cotula	coronopifolia	introduced
216	Crassula	connate	native
217	Cream	bush	native
218	Cream	cups	native
219	Cressa	truxillensis	native
220	Cryptantha	clevelandii	native
221	Cryptantha	leiocarpa	native
222	Cryptantha	maritima	native
223	Cryptantha	micromeres	native
224	Cryptantha	muricata	native
225	Cucurbita	foetidissima	native
226	Cupressus	macrocarpa	native
227	Cuscuta	californica	native
228	Cuscuta	salina	native
229	Cynodon	dactylon	introduced
230	Cyperus	involucratus	introduced
231	Cyperus	odoratus	native
232	Cystopteris	fragilis	native
233	Dactylis	glomerata	introduced
234	Datura	wrightii	native
235	Daucus	pusillus	native
236	Delairea	odorata	introduced
237	Delphinium	parryi	native
238	Dendromecon	rigida	native
239	Descurainia	pinnata	native
240	Dicentra	ochrolueca	native
241	Dichelostemma	capitatum	native
242	Dichondra	occidentalis	native
243	Distichlis	spicata	native
244	Dithyrea	maritima	native
245	Dodecatheon	clevelandii	native
246	Draba	cuneifolia	native
247	Dryopteris	arguta	native
248	Dudleya	blochmaniae	native
249	Dudleya	caespitosa	native
250	Dudleya	candelabrum	native
251	Dudleya	gnoma	native
252	Dudleya	greenei	native
253	Dudleya	nesiotica	native
254	Dudleya	traskiae	native
255	Ehrharta	erecta	introduced
256	Eleocharis	acicularis	native
257	Eleocharis	macrostachya	native
258	Elymus	glaucus	native
259	Emmenanthe	pendulifora	native
260	Encelia	californica	native
261	Epilobium	brachycarpum	native
262	Epilobium	canum	native
263	Epilobium	cliatum	native
264	Epipactis	gigantea	native
265	Equisetum	hyemale	native
266	Equisetum	laevigatum	native
267	Equisetum	telmateia	native
268	Erchtites	glomerata	introduced
269	Eremalche	exilis	native
270	Eremocarpus	setigerus	native
271	Eriastrum	filifolium	native
272	Ericameria	ericoides	native
273	Erigeron	foliosus	native
274	Erigeron	glaucus	native
275	Erigeron	sanctarum	native
276	Eriogonum	arborescens	native
277	Eriogonum	cinereum	native
278	Eriogonum	giganteum	introduced
279	Eriogonum	giganteum	native
